,BBL,XCoord,YCoord,norm_site_eui,norm_source_eui,energy_star,LotArea,BldgArea,NumBldgs,NumFloors,YearBuilt,BuiltFAR,total_ghg
173,1013360031,992603.0,212627.0,,,,22590,246215,1,15.0,1987,10.9,1684.4
174,1000200016,980639.0,196803.0,77.8,206.8,79.0,15722,309381,1,31.0,1983,19.68,2260.1
175,1011370010,988907.0,221205.0,140.3,231.6,,98581,360120,1,5.0,1968,3.65,3756.5
176,1000660001,981843.0,197363.0,122.6,258.9,51.0,49440,640000,1,14.0,1922,12.94,8040.3
177,1002330026,984268.0,201408.0,71.6,179.8,,10524,129135,1,12.0,1930,12.27,3013.2
178,1021380040,1000399.0,245571.0,388.3,797.0,,364433,3693539,6,22.0,1930,10.14,20916.4
179,1001010002,982535.0,198556.0,73.5,178.7,,7865,125840,1,16.0,1900,16.0,743.5
180,3076680024,1000080.0,164702.0,116.1,285.1,100.0,50050,151720,1,3.0,1947,3.03,1126.5
181,3019220001,994778.0,191107.0,,,1.0,156700,158540,28,1.0,1972,1.01,934.7
182,3019210001,994479.0,190784.0,,,30.0,15800,62000,1,5.0,1925,3.92,348.4
183,3019470001,994150.0,189937.0,,,20.0,30000,120000,1,4.0,1924,4.0,781.9
184,3019050120,994486.0,191754.0,,,74.0,147860,287000,2,16.0,1957,1.94,54.7
185,3019200001,994263.0,191036.0,,,11.0,140000,291041,6,2.0,1975,2.08,56.6
186,1000390004,982122.0,196353.0,,,100.0,4179,50044,1,12.0,1905,11.98,286.6
187,1000390001,982168.0,196294.0,,,100.0,4957,53253,1,12.0,1902,10.74,199.6
188,1008080040,987225.0,212212.0,56.0,174.5,83.0,79002,1105991,1,14.0,1911,14.0,4718.7
189,1013087501,992551.0,215583.0,132.8,281.8,53.0,70572,1835280,1,60.0,1977,26.01,17227.7
190,1012900056,991519.0,216506.0,90.4,223.4,63.0,12552,272532,1,37.0,1971,21.71,2137.8
191,1000860001,981300.0,198945.0,59.1,154.7,86.0,75460,1154357,1,15.0,1935,15.3,5856.9
192,4021620122,1026535.0,208167.0,,,11.0,199965,428836,2,14.0,1965,2.14,3113.5
193,1012850015,990870.0,215288.0,,,75.0,16575,401686,1,40.0,1931,24.23,2530.1
194,1012940001,991886.0,217481.0,134.8,294.9,50.0,84350,1824820,1,50.0,1968,21.63,19018.3
195,2051410020,1031574.0,254867.0,50.6,153.1,75.0,427032,134100,2,1.0,1994,0.31,552.4
196,1021240017,1001028.0,245229.0,432.4,827.7,1.0,27150,286481,1,13.0,2001,10.55,7859.3
197,1012640005,989835.0,215590.0,112.2,231.4,59.0,142087,1898155,3,22.0,1939,13.36,5751.0
198,1012650050,990319.0,215619.0,154.8,307.0,23.0,63261,272637,2,6.0,1937,4.31,1269.2
199,1012660001,990182.0,215995.0,139.3,290.4,34.0,184764,2734038,4,31.0,1932,14.8,12376.2
200,1012657501,989889.0,215856.0,130.6,431.5,22.0,107766,2117061,1,70.0,1937,19.64,34711.2
201,1008820085,988626.0,209737.0,468.0,584.7,2.0,12449,209041,1,16.0,1910,16.79,5839.3
202,1008820003,988590.0,209649.0,164.1,307.9,25.0,8032,89311,1,12.0,1911,11.12,1285.1
203,1005980058,982072.0,204414.0,96.0,245.2,71.0,49755,797477,1,17.0,1931,16.03,6714.0
204,1006007501,982095.0,204945.0,81.6,232.5,64.0,66355,579930,1,9.0,1921,8.74,4143.1
205,1007570054,985495.0,213468.0,44.6,81.4,99.0,46412,646464,2,18.0,1926,13.93,2293.2
206,1000750021,982932.0,197177.0,75.4,197.4,63.0,11828,234553,1,28.0,1987,19.83,1565.8
207,1012720066,990736.0,217537.0,96.9,215.1,77.0,5020,73732,1,16.0,1927,14.69,540.4
208,1012950040,991066.0,212527.0,59.6,167.3,83.0,12341,210777,1,22.0,1958,17.08,1140.5
209,1014400049,995035.0,217823.0,248.3,580.9,,20164,239235,1,16.0,2006,11.86,4533.5
210,1009090001,989715.0,209612.0,153.6,267.1,1.0,23576,253489,1,20.0,1964,10.75,2334.9
211,1008667501,989078.0,212381.0,118.6,253.3,1.0,4945,68728,1,14.0,1912,13.9,623.3
212,3002530057,985392.0,192178.0,,,100.0,9600,66500,1,10.0,1928,6.93,139.7
213,1008667502,989545.0,212208.0,51.5,94.3,88.0,10799,76896,1,12.0,1952,7.12,381.9
214,1008750047,988409.0,207736.0,1907.5,2335.3,,13800,170000,1,18.0,1956,12.32,21156.6
215,1015290045,996775.0,222428.0,83.3,139.7,39.0,10438,130234,1,18.0,1961,12.48,740.0
216,1006030037,981987.0,205815.0,,,45.0,10130,81040,1,8.0,1920,8.0,366.1
217,1013667501,994493.0,214733.0,,,1.0,25104,185600,1,31.0,1983,7.39,1211.8
218,1005550028,987133.0,205447.0,67.8,87.3,94.0,20165,261940,1,20.0,1965,12.99,1406.8
219,1013630008,994025.0,214101.0,,,100.0,10050,73676,1,9.0,1928,7.33,280.5
220,1014690028,997330.0,219354.0,111.1,155.6,,10216,136820,1,19.0,1963,13.39,1204.9
221,1006047501,981664.0,206041.0,94.1,140.7,29.0,19950,85137,1,6.0,1920,4.27,603.4
222,1013690002,994679.0,215586.0,75.5,139.0,38.0,10450,118305,1,17.0,1959,11.32,699.4
223,1013230015,992635.0,214277.0,,,98.0,9037,73800,1,11.0,1927,8.17,318.5
224,1012340007,990637.0,226657.0,,,79.0,7550,67142,1,7.0,1907,8.89,356.5
225,1013870001,993541.0,220706.0,67.1,126.3,43.0,12575,163600,1,16.0,1959,13.01,769.0
226,1014950004,995069.0,223314.0,95.0,158.8,19.0,36710,312550,1,13.0,1955,8.51,2036.1
227,1015040031,996785.0,225048.0,,,,15150,181136,1,14.0,1926,11.96,1014.1
228,1009207501,991550.0,211991.0,82.8,160.4,,11924,200417,1,48.0,1988,16.81,1521.5
229,1013227501,992663.0,213968.0,258.7,310.8,1.0,12830,154071,1,21.0,1959,12.01,2517.6
230,1013207504,992212.0,213619.0,,,94.0,10443,74760,1,13.0,1956,7.16,382.9
231,1013690007,994799.0,215509.0,,,74.0,11675,128114,1,15.0,1927,10.97,712.1
232,1011257502,990517.0,222456.0,,,30.0,17880,206585,1,15.5,1924,11.55,1321.8
233,1013037501,991885.0,214395.0,11614.9,12291.9,1.0,13012,165538,1,32.0,1985,12.72,105756.1
234,1012737501,990852.0,217813.0,144.7,237.1,1.0,17029,198816,1,33.0,1969,11.68,2132.8
